record,mode,frame_idx,is_valid,reason
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,0,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,1,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,2,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,3,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,4,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,5,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,6,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,7,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,8,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,9,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,10,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,11,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,12,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,13,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,14,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,15,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,16,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,17,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,18,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,19,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,20,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,21,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,22,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,23,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,24,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,25,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,26,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,27,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,28,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,29,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,30,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,31,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,32,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,33,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,34,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,35,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,36,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,37,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,38,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,39,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,40,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,41,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,42,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,43,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,44,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,45,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,46,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,47,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,48,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,49,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,50,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,51,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,52,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_30,53,False,Identical to previous frame
