record,mode,frame_idx,is_valid,reason
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,0,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,1,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,2,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,3,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,4,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,5,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,6,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,7,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,8,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,9,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,10,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,11,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,12,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,13,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,14,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,15,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,16,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,17,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,18,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,19,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,20,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,21,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,22,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,23,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,24,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,25,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,26,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,27,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,28,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,29,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,30,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,31,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,32,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,33,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,34,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,35,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,36,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,37,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,38,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,39,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,40,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,41,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,42,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,43,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,44,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,45,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,46,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,47,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,48,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,49,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,50,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,51,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,52,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,53,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,54,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,55,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,56,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,57,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,58,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,59,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,60,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,61,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,62,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,63,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,64,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,65,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,66,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,67,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,68,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,69,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,70,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,71,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,72,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,73,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,74,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,75,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,76,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,77,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,78,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,79,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,80,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,81,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,82,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,83,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,84,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,85,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,86,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,87,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,88,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,89,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,90,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,91,True,
AnimeFantasyRPG_0_60,2_Easy/2_Easy_2/fps_60,92,True,
