record,mode,frame_idx,is_valid,reason
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,0,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,1,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,2,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,3,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,4,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,5,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,6,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,7,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,8,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,9,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,10,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,11,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,12,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,13,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,14,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,15,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,16,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,17,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,18,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,19,True,
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,20,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,21,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,22,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,23,False,Identical to previous frame
AnimeFantasyRPG_0_60,2_Difficult/2_Difficult_0/fps_60,24,False,Identical to previous frame
